285,"Buchas Plasticas 8mm",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
286,"Buchas Plasticas Avulso",,,,0,0,26,,"un",,,,,,,,,,,,,,,,,
287,"Buscapol Grande",,,,0,0,47,,"un",,,,,,,,,,,,,,,,,
288,"Buscapol Pequeno",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
289,"Cachimbo",,,,0,0,32,,"un",,,,,,,,,,,,,,,,,
290,"Cadiado 25mm",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
291,"Cadiado 32mm",,,,0,0,24,,"un",,,,,,,,,,,,,,,,,
292,"Cadiado 38mm",,,,0,0,27,,"un",,,,,,,,,,,,,,,,,
293,"Cadiado 40mm",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
294,"Cadiado 50mm",,,,0,0,22,,"un",,,,,,,,,,,,,,,,,
295,"Cadiado 60mm",,,,0,0,19,,"un",,,,,,,,,,,,,,,,,
296,"Cadiado 63mm",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
297,"Cadiado 70mm",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
298,"Cadiado 80mm",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
299,"Cadiado redondo 80mm",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
300,"Caiscas 40*40 1.44",,,,0,0,15,,"un",,,,,,,,,,,,,,,,,
301,"Caiscas 40*40 1mm",,,,0,0,35,,"un",,,,,,,,,,,,,,,,,
302,"Caixa Aparelhagem Fundo",,,,0,0,73,,"un",,,,,,,,,,,,,,,,,
303,"Caixa Aparelhagem Normal",,,,0,0,20,,"un",,,,,,,,,,,,,,,,,
304,"Caixa De Contador N 12",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
305,"Caixa De Contador N 24",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
306,"Caixa De Derivacao com Terra",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
307,"Caixa De Derivacao Exterior",,,,0,0,31,,"un",,,,,,,,,,,,,,,,,
308,"Caixa De Derivacao Interior",,,,0,0,18,,"un",,,,,,,,,,,,,,,,,
309,"Caixa De Disjuntor 13*16",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
310,"Caixa De Disjuntor 14*18",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
311,"Caixa De Disjuntor 17*20",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
312,"Caixa De Disjuntor 9*12",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
313,"Caixa De Disjuntor N 4",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
314,"Caixa de Disjuntor N 6",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
315,"Caixa De Disjuntor N 8",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
316,"Caixinha De Taxa",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
317,"Caleira 3metros",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
318,"Calia De Aluminio",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
319,"Calia De Aluminio Chines",,,,0,0,13,,"un",,,,,,,,,,,,,,,,,
320,"Calia De Plastico",,,,0,0,16,,"un",,,,,,,,,,,,,,,,,
321,"Camara",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
322,"Candieiro De Muro",,,,0,0,36,,"un",,,,,,,,,,,,,,,,,
323,"Canhao",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
